Year;Sex;Age;Location;Units;Value
2005;;;;CON_USD;116.70505
2006;;;;CON_USD;156.59392
2006;;;;CON_USD;197.0606
2007;;;;CON_USD;461.48992
2007;;;;CON_USD;163.16431
2008;;;;CON_USD;272.27232
2008;;;;CON_USD;251.43206
2009;;;;CON_USD;697.68816
2009;;;;CON_USD;459.3206
2010;;;;CON_USD;705.4457
2010;;;;CON_USD;287.75341
2011;;;;CON_USD;748.33815
2011;;;;CON_USD;382.4636
2012;;;;CON_USD;413.54386
2012;;;;CON_USD;492.30595
2013;;;;CON_USD;501.57846
2013;;;;CON_USD;589.81034
2014;;;;CON_USD;465.05651
2014;;;;CON_USD;533.61991
2015;;;;CON_USD;421.58299
2015;;;;CON_USD;492.45652
2016;;;;CON_USD;602.40119
2016;;;;CON_USD;509.15087
2017;;;;CON_USD;512.27762
2017;;;;CON_USD;452.99493
2018;;;;CON_USD;172.95051
2018;;;;CON_USD;444.20691
2019;;;;CON_USD;302.97851
2019;;;;CON_USD;323.62637
2020;;;;CON_USD;116.44728
2020;;;;CON_USD;244.61868
;;;;;
 Engagements pris dans le cadre de l’initiative Aide pour le commerce ;;;;;
2010;;;;;659.42
2011;;;;;694.19
2012;;;;;386.19
2013;;;;;467.38
2014;;;;;433.61
2015;;;;;394.41
2016;;;;;558.79
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;212.16
Décaissements effectués dans le cadre de l’initiative Aide pour le commerce ;;;;;
2010;;;;;266.88
2011;;;;;355.17
2012;;;;;457.84
2013;;;;;549.39
2014;;;;;497.5
2015;;;;;458.94
2016;;;;;472.42
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;134.8
Proportion des Décaissements sur les Engagements pris dans le cadre de l’initiative Aide pour le commerce ;;;;;
2010;;;;;40.47
2011;;;;;51.16
2012;;;;;118.55
2013;;;;;117.55
2014;;;;;114.73
2015;;;;;116.36
2016;;;;;84.54
2017;;;;;
2018;;;;;
2019;;;;;
2020;;;;;63.56
