Year,Sex,Age,Location,Units,Value
2000,,,,PERCENT,32.94
2000,,,,PERCENT,9.91
2000,,,,CON_USD,115.58
2001,,,,PERCENT,28.89
2001,,,,PERCENT,19.81
2001,,,,CON_USD,96.53
2002,,,,PERCENT,29.27
2002,,,,PERCENT,21.22
2002,,,,CON_USD,97.78
2003,,,,PERCENT,26.49
2003,,,,PERCENT,18.3
2003,,,,CON_USD,90.59
2004,,,,PERCENT,25.89
2004,,,,PERCENT,17.64
2004,,,,CON_USD,91.57
2005,,,,PERCENT,24.49
2005,,,,PERCENT,16.4
2005,,,,CON_USD,89.07
2006,,,,PERCENT,22.14
2006,,,,PERCENT,15.47
2006,,,,CON_USD,82.12
2007,,,,PERCENT,22.33
2007,,,,PERCENT,17.01
2007,,,,CON_USD,85.17
2008,,,,PERCENT,21.35
2008,,,,PERCENT,14.92
2008,,,,CON_USD,83.71
2009,,,,PERCENT,18.71
2009,,,,PERCENT,18.88
2009,,,,CON_USD,72.99
2010,,,,PERCENT,16.89
2010,,,,PERCENT,16.22
2010,,,,CON_USD,68.26
2011,,,,PERCENT,16.08
2011,,,,PERCENT,15.36
2011,,,,CON_USD,67.19
2012,,,,PERCENT,15.8
2012,,,,PERCENT,15.36
2012,,,,CON_USD,68.38
2013,,,,PERCENT,16.03
2013,,,,PERCENT,15.39
2013,,,,CON_USD,72.79
2014,,,,PERCENT,16.1
2014,,,,PERCENT,15.55
2014,,,,CON_USD,77.41
2015,,,,PERCENT,17.13
2015,,,,PERCENT,17.13
2015,,,,CON_USD,85.18
2016,,,,PERCENT,18.17
2016,,,,PERCENT,18.92
2016,,,,CON_USD,89.56
2017,,,,PERCENT,17.94
2017,,,,PERCENT,19.67
2017,,,,CON_USD,88.76
2018,,,,PERCENT,16.83
2018,,,,PERCENT,17.84
2018,,,,CON_USD,85.28
2019,,,,PERCENT,17.1
2019,,,,PERCENT,20.01
2019,,,,CON_USD,87.66
2020,,,,PERCENT,15.6
2020,,,,PERCENT,19.17
2020,,,,CON_USD,78.82
2021,,,,PERCENT,15.15
2021,,,,CON_USD,78.49
